Country,TotalArea,LandArea,WaterArea,Highest.point,Maximum.elevation,Lowest.point,Minimum.elevation,Pop2023
Colombia,1141748,1038700,100210,"Pico Cristóbal Colón[l]
Pico Simón Bolívar",5700,"North Pacific Ocean
Caribbean Sea",0,52085168
Myanmar,676578,653508,23070,Hkakabo Razi,5881,Indian Ocean,0,54577997
Ecuador,276841,256369,6720,Chimborazo[p],6267,Pacific Ocean,0,18190484
Bolivia,1098581,1083301,15280,Sajama,6542,Paraguay River,90,12388571
Peru,1285216,1279996,5220,Huascarán[ak],6768,Bayóvar Depression,-34,34352719
Chile,756102,743812,12290,Ojos del Salado[f][g],6893,South Pacific Ocean,0,19629590
Argentina,2780400,2736690,43710,Aconcagua[a][b],6960,Laguna del Carbón[c],-105,45773884
Kazakhstan,2724900,2699700,25200,Khan Tengri,7010,Karagiye Depression,-132,19606634
Kyrgyzstan,199951,191801,8150,Jengish Chokusu,7439,Kara Darya,435,6735348
Afghanistan,652867,652867,0,Noshakh,7492,Amu Darya,258,42239854
Tajikistan,143100,141510,2590,Ismoil Somoni Peak,7495,Syr Darya,300,10143543
Bhutan,38394,38394,0,Gangkhar Puensum,7570,Drangme Chhu,97,787425
India,3287263,2973190,314073,Kangchenjunga[w][x],8586,Kuttanad[9],-2,1428627663
Pakistan,881913,856690,25223,K2[aj],8611,Arabian Sea,0,240485658
Nepal,147516,143686,3830,Mount Everest[i][ag],8848,Mukhiyapatti Musharniya,59,30896590
United States,9833517,9147593,685924,Denali[av][aw][ax],6190.5,Badwater Basin[ay],-85.5,339996564
